Tahun,Minggu,Insiden,Sembuh
2020,170,77,21
2020,171,107,5
2020,172,87,9
2020,173,78,18
2020,174,68,9
2020,175,86,5
2020,176,102,11
2020,177,68,16
2020,178,72,7
2020,179,92,11
2020,180,55,10
2020,181,41,6
2020,182,35,9
2020,183,22,3
2020,184,25,6
2020,185,14,6
2020,186,10,2
2020,187,19,2
2020,188,22,0
2020,189,7,4
2020,190,7,3
2020,191,8,0
2020,192,3,1
2020,193,2,2
2020,194,11,2
2020,195,5,1
2020,196,5,1
2020,197,0,1
2020,198,2,0
2020,199,1,2
2020,200,2,2
2020,201,2,0
2020,202,2,1
2020,203,9,1
2020,204,1,2
2020,205,2,5
2020,206,3,2
2020,207,1,1
2020,208,2,1
2020,209,4,3
2020,210,1,2
2020,211,3,0
2020,212,5,2
2021,213,3,0
2021,214,2,2
2021,215,3,2
2021,216,2,1
2021,217,6,3
2021,218,8,1
2021,219,7,0
2021,220,7,4
2021,221,8,3
2021,222,18,8
2021,223,20,4
2021,224,20,6
2021,225,16,5
2021,226,22,9
2021,227,24,12
2021,228,24,7
2021,229,29,5
2021,230,22,9
2021,231,32,12
2021,232,33,9
2021,233,28,9
2021,234,33,14
2021,235,42,7
2021,236,24,5
2021,237,5,2
2021,238,10,2
2021,239,16,5
2021,240,10,5
2021,241,8,1
2021,242,2,6
2021,243,13,10
2021,244,7,9
2021,245,8,1
2021,246,14,7
2021,247,11,8
2021,248,18,11
2021,249,20,6
2021,250,15,5
2021,251,31,4
2021,252,18,2
2021,253,21,8
2021,254,24,6
2021,255,19,3
2021,256,15,4
2021,257,28,14
2021,258,23,7
2021,259,35,7
2021,260,37,5
2021,261,33,8
2021,262,51,10
2021,263,51,7
2021,264,33,9
2021,265,65,14
2022,266,65,14
2022,267,65,18
2022,268,54,18
2022,269,51,11
2022,270,33,5
2022,271,38,10
2022,272,35,4
2022,273,48,13
2022,274,73,10
2022,275,108,12
2022,276,87,23
2022,277,93,18
2022,278,100,15
2022,279,119,25
2022,280,83,24
2022,281,95,32
2022,282,88,17
2022,283,116,22
2022,284,123,33
2022,285,122,31
2022,286,126,17
2022,287,79,32
2022,288,99,40
2022,289,98,31
2022,290,94,31
2022,291,103,33
2022,292,98,28
2022,293,78,35
2022,294,89,28
2022,295,54,16
2022,296,90,17
2022,297,63,15
2022,298,74,14
2022,299,71,20
2022,300,60,14
2022,301,80,16
2022,302,59,20
2022,303,42,10
2022,304,34,11
2022,305,36,11
2022,306,42,8
2022,307,44,10
2022,308,36,8
2022,309,48,13
2022,310,40,3
2022,311,40,2
2022,312,44,5
2022,313,41,7
2022,314,41,7
2022,315,49,16
2022,316,31,6
2022,317,38,12
2022,318,42,0
2023,319,42,0
2023,320,34,8
2023,321,34,6
2023,322,53,2
2023,323,51,8
2023,324,63,18
2023,325,42,12
2023,326,41,2
2023,327,42,12
2023,328,52,5
2023,329,101,12
2023,330,82,15
2023,331,64,19
2023,332,82,23
2023,333,77,23
2023,334,61,9
2023,335,96,16
2023,336,85,8
2023,337,57,16
2023,338,51,10
2023,339,57,7
2023,340,52,8
2023,341,49,10
2023,342,35,5
2023,343,42,8
2023,344,26,10
2023,345,19,10
2023,346,25,6
2023,347,21,6
2023,348,20,2
2023,349,18,8
2023,350,25,7
2023,351,31,11
2023,352,28,8
2023,353,34,8
2023,354,30,7
2023,355,28,3
2023,356,18,4
2023,357,14,2
2023,358,15,10
2023,359,19,5
2023,360,20,3
2023,361,17,6
2023,362,14,9
2023,363,16,2
2023,364,21,1
2023,365,17,4
2023,366,10,2
2023,367,19,3
2023,368,25,1
2023,369,13,2
2023,370,14,7
2023,371,15,1
2024,372,15,1
2024,373,27,6
2024,374,27,1
2024,375,30,10
2024,376,29,9
2024,377,47,6
2024,378,66,14
2024,379,77,15
2024,380,98,18
2024,381,117,22
2024,382,106,46
2024,383,143,56
2024,384,174,75
2024,385,190,92
2024,386,193,74
2024,387,255,100
2024,388,262,110
2024,389,224,125
2024,390,216,107
2024,391,208,84
2024,392,164,84
2024,393,156,60
2024,394,129,43
2024,395,87,29
2024,396,57,16
2024,397,64,23
2024,398,79,14
2024,399,73,12
2024,400,64,7
2024,401,97,10
2024,402,74,10
2024,403,61,11
2024,404,71,7
2024,405,40,10
2024,406,63,9
2024,407,55,6
2024,408,38,3
2024,409,35,3
2024,410,40,1
2024,411,24,3
2024,412,44,3
2024,413,32,3
2024,414,29,4
2024,415,20,6
2024,416,28,8
2024,417,22,2
2024,418,33,0
2024,419,38,6
2024,420,42,6
2024,421,45,3
2024,422,35,3
2024,423,43,1
2024,424,46,5
2025,425,46,5
2025,426,50,12
2025,427,66,5
2025,428,55,7
2025,429,51,10
2025,430,77,21
2025,431,65,12
2025,432,64,13
2025,433,91,12
2025,434,84,18
2025,435,107,18
2025,436,129,20
2025,437,96,9
2025,438,86,4
2025,439,104,15
2025,440,120,18
2025,441,117,10
2025,442,108,4
2025,443,142,10
2025,444,92,11
2025,445,120,24
2025,446,109,12
2025,447,92,23
2025,448,86,22
2025,449,106,12
2025,450,82,30
2025,451,87,25
2025,452,90,23
2025,453,84,32
2025,454,110,26
2025,455,112,22
2025,456,97,30
2025,457,109,38
2025,458,93,27
2025,459,78,26
2025,460,61,14
2025,461,66,13
2025,462,74,10
2025,463,84,5
2025,464,54,10
2025,465,46,9
2025,466,52,6
2025,467,45,8
2025,468,33,11
2025,469,41,4
2025,470,27,12
2025,471,29,6
2025,472,30,9
2025,473,35,5
2025,474,27,9
2025,475,29,3
2025,476,31,7
2025,477,31,3
