Tahun,Minggu,Insiden,Sembuh
2020,184,24,2
2020,185,17,6
2020,186,7,3
2020,187,25,5
2020,188,13,4
2020,189,11,5
2020,190,9,3
2020,191,6,3
2020,192,15,0
2020,193,2,1
2020,194,2,0
2020,195,3,2
2020,196,5,0
2020,197,6,0
2020,198,3,0
2020,199,4,4
2020,200,4,2
2020,201,4,0
2020,202,3,2
2020,203,3,0
2020,204,2,0
2020,205,3,1
2020,206,5,1
2020,207,9,3
2020,208,10,5
2020,209,7,1
2020,210,11,2
2020,211,4,2
2020,212,5,1
2021,213,12,2
2021,214,13,3
2021,215,9,4
2021,216,9,1
2021,217,13,1
2021,218,15,2
2021,219,7,4
2021,220,7,2
2021,221,10,1
2021,222,11,2
2021,223,18,1
2021,224,22,2
2021,225,19,7
2021,226,22,7
2021,227,24,9
2021,228,21,5
2021,229,24,5
2021,230,36,12
2021,231,38,6
2021,232,38,10
2021,233,36,8
2021,234,34,5
2021,235,29,12
2021,236,29,6
2021,237,8,0
2021,238,6,0
2021,239,16,2
2021,240,15,3
2021,241,25,2
2021,242,29,3
2021,243,30,1
2021,244,24,1
2021,245,36,0
2021,246,28,4
2021,247,37,9
2021,248,38,5
2021,249,27,7
2021,250,57,6
2021,251,29,1
2021,252,26,7
2021,253,39,8
2021,254,32,9
2021,255,43,11
2021,256,31,8
2021,257,44,9
2021,258,38,6
2021,259,50,8
2021,260,55,8
2021,261,73,5
2021,262,63,13
2021,263,72,15
2021,264,63,19
2021,265,63,14
2022,266,63,14
2022,267,85,20
2022,268,92,20
2022,269,70,16
2022,270,57,15
2022,271,43,19
2022,272,52,10
2022,273,48,11
2022,274,49,8
2022,275,58,8
2022,276,47,21
2022,277,62,12
2022,278,74,13
2022,279,95,16
2022,280,78,21
2022,281,56,7
2022,282,64,9
2022,283,48,15
2022,284,65,25
2022,285,62,10
2022,286,62,12
2022,287,68,12
2022,288,70,17
2022,289,50,13
2022,290,71,12
2022,291,69,15
2022,292,68,23
2022,293,75,28
2022,294,75,13
2022,295,61,8
2022,296,74,9
2022,297,45,9
2022,298,54,7
2022,299,56,9
2022,300,61,12
2022,301,37,9
2022,302,44,9
2022,303,44,5
2022,304,44,1
2022,305,28,8
2022,306,39,4
2022,307,60,7
2022,308,48,4
2022,309,41,12
2022,310,57,12
2022,311,44,9
2022,312,51,9
2022,313,46,4
2022,314,57,4
2022,315,51,6
2022,316,33,6
2022,317,58,7
2022,318,47,14
2023,319,47,14
2023,320,45,14
2023,321,55,11
2023,322,49,9
2023,323,45,14
2023,324,48,5
2023,325,33,10
2023,326,37,11
2023,327,33,8
2023,328,26,6
2023,329,31,5
2023,330,25,2
2023,331,45,10
2023,332,42,9
2023,333,41,5
2023,334,24,8
2023,335,31,5
2023,336,53,10
2023,337,26,9
2023,338,35,12
2023,339,29,4
2023,340,27,6
2023,341,19,9
2023,342,26,11
2023,343,27,3
2023,344,36,10
2023,345,30,12
2023,346,26,7
2023,347,36,2
2023,348,25,4
2023,349,22,4
2023,350,18,7
2023,351,23,13
2023,352,32,6
2023,353,33,14
2023,354,32,10
2023,355,34,13
2023,356,24,7
2023,357,21,5
2023,358,18,6
2023,359,21,11
2023,360,16,7
2023,361,10,6
2023,362,18,6
2023,363,15,5
2023,364,17,2
2023,365,11,9
2023,366,9,6
2023,367,17,4
2023,368,15,7
2023,369,15,1
2023,370,18,7
2023,371,32,5
2024,372,32,5
2024,373,48,9
2024,374,48,11
2024,375,54,11
2024,376,54,15
2024,377,69,22
2024,378,90,33
2024,379,120,23
2024,380,153,57
2024,381,171,45
2024,382,180,60
2024,383,234,69
2024,384,230,54
2024,385,250,58
2024,386,191,44
2024,387,216,74
2024,388,212,46
2024,389,238,57
2024,390,218,59
2024,391,215,63
2024,392,177,69
2024,393,157,43
2024,394,120,51
2024,395,118,47
2024,396,89,16
2024,397,69,17
2024,398,54,16
2024,399,67,8
2024,400,60,16
2024,401,77,6
2024,402,67,23
2024,403,65,10
2024,404,64,8
2024,405,60,11
2024,406,38,4
2024,407,45,6
2024,408,44,6
2024,409,28,3
2024,410,31,0
2024,411,19,1
2024,412,29,2
2024,413,23,4
2024,414,31,3
2024,415,37,1
2024,416,22,5
2024,417,32,2
2024,418,30,4
2024,419,42,4
2024,420,33,3
2024,421,45,11
2024,422,50,8
2024,423,51,7
2024,424,74,13
2025,425,74,13
2025,426,69,17
2025,427,81,19
2025,428,90,15
2025,429,54,13
2025,430,76,10
2025,431,78,13
2025,432,64,9
2025,433,71,15
2025,434,78,13
2025,435,75,13
2025,436,83,7
2025,437,45,25
2025,438,58,9
2025,439,74,12
2025,440,78,17
2025,441,84,5
2025,442,76,14
2025,443,78,5
2025,444,66,15
2025,445,60,12
2025,446,81,11
2025,447,74,13
2025,448,83,11
2025,449,80,19
2025,450,81,10
2025,451,69,14
2025,452,92,11
2025,453,95,11
2025,454,90,15
2025,455,82,13
2025,456,76,14
2025,457,73,9
2025,458,80,3
2025,459,64,8
2025,460,52,9
2025,461,44,6
2025,462,72,13
2025,463,54,3
2025,464,61,5
2025,465,54,3
2025,466,64,6
2025,467,53,5
2025,468,57,5
2025,469,56,4
2025,470,60,12
2025,471,53,6
2025,472,44,4
2025,473,46,5
2025,474,49,3
2025,475,48,4
2025,476,34,2
2025,477,35,4
