Tahun,Minggu,Insiden,Sembuh
2022,297,18,3
2022,298,16,6
2022,299,12,9
2022,300,10,5
2022,301,17,4
2022,302,11,6
2022,303,9,3
2022,304,14,2
2022,305,13,0
2022,306,20,5
2022,307,11,2
2022,308,14,7
2022,309,15,7
2022,310,17,8
2022,311,18,7
2022,312,18,8
2022,313,16,7
2022,314,14,17
2022,315,21,8
2022,316,25,7
2022,317,20,1
2022,318,13,5
2023,319,13,5
2023,320,15,7
2023,321,16,6
2023,322,17,11
2023,323,16,9
2023,324,12,10
2023,325,18,8
2023,326,13,5
2023,327,24,8
2023,328,21,3
2023,329,21,7
2023,330,31,12
2023,331,29,5
2023,332,33,8
2023,333,26,5
2023,334,14,4
2023,335,20,7
2023,336,23,3
2023,337,17,6
2023,338,19,1
2023,339,16,4
2023,340,15,4
2023,341,26,5
2023,342,17,1
2023,343,16,3
2023,344,5,1
2023,345,5,4
2023,346,12,3
2023,347,15,5
2023,348,8,1
2023,349,8,2
2023,350,9,5
2023,351,13,1
2023,352,7,3
2023,353,10,0
2023,354,8,1
2023,355,7,2
2023,356,9,2
2023,357,14,0
2023,358,13,0
2023,359,9,1
2023,360,11,4
2023,361,8,3
2023,362,10,3
2023,363,11,1
2023,364,9,7
2023,365,4,4
2023,366,5,1
2023,367,4,2
2023,368,8,2
2023,369,5,2
2023,370,10,1
2023,371,9,2
2024,372,9,2
2024,373,14,6
2024,374,15,2
2024,375,21,7
2024,376,14,3
2024,377,17,2
2024,378,20,4
2024,379,37,8
2024,380,32,15
2024,381,48,13
2024,382,67,31
2024,383,76,23
2024,384,116,30
2024,385,100,28
2024,386,76,36
2024,387,125,34
2024,388,147,36
2024,389,129,30
2024,390,97,32
2024,391,108,28
2024,392,81,19
2024,393,46,14
2024,394,48,13
2024,395,44,13
2024,396,35,7
2024,397,16,6
2024,398,24,6
2024,399,25,9
2024,400,21,4
2024,401,25,1
2024,402,18,5
2024,403,33,7
2024,404,24,1
2024,405,18,5
2024,406,20,2
2024,407,11,2
2024,408,9,3
2024,409,9,0
2024,410,6,1
2024,411,11,1
2024,412,9,0
2024,413,12,1
2024,414,7,1
2024,415,10,1
2024,416,6,1
2024,417,13,0
2024,418,14,3
2024,419,17,0
2024,420,10,3
2024,421,17,3
2024,422,18,4
2024,423,14,1
2024,424,15,2
2025,425,15,2
2025,426,17,8
2025,427,26,9
2025,428,35,10
2025,429,16,9
2025,430,40,14
2025,431,23,11
2025,432,25,13
2025,433,38,16
2025,434,35,8
2025,435,45,12
2025,436,51,9
2025,437,30,14
2025,438,30,14
2025,439,37,16
2025,440,49,12
2025,441,44,12
2025,442,38,14
2025,443,51,8
2025,444,31,9
2025,445,40,9
2025,446,23,7
2025,447,34,5
2025,448,27,9
2025,449,37,11
2025,450,36,7
2025,451,46,8
2025,452,39,9
2025,453,29,3
2025,454,50,6
2025,455,37,6
2025,456,41,16
2025,457,44,5
2025,458,35,4
2025,459,37,10
2025,460,31,5
2025,461,32,4
2025,462,24,10
2025,463,21,6
2025,464,31,2
2025,465,17,5
2025,466,27,9
2025,467,30,3
2025,468,12,1
2025,469,10,2
2025,470,9,3
2025,471,14,2
2025,472,14,5
2025,473,9,2
2025,474,15,0
2025,475,6,5
2025,476,5,2
2025,477,11,2
