Tahun,Minggu,Insiden,Sembuh
2021,227,75,14
2021,228,98,6
2021,229,66,8
2021,230,95,10
2021,231,127,22
2021,232,129,12
2021,233,102,14
2021,234,101,9
2021,235,74,5
2021,236,82,7
2021,237,25,3
2021,238,21,4
2021,239,22,1
2021,240,26,3
2021,241,28,10
2021,242,30,5
2021,243,38,4
2021,244,35,5
2021,245,24,10
2021,246,45,4
2021,247,44,5
2021,248,52,5
2021,249,67,3
2021,250,44,3
2021,251,33,1
2021,252,24,1
2021,253,41,3
2021,254,29,0
2021,255,42,2
2021,256,44,4
2021,257,31,4
2021,258,54,0
2021,259,41,1
2021,260,52,2
2021,261,47,3
2021,262,76,3
2021,263,51,5
2021,264,77,4
2021,265,104,13
2022,266,104,13
2022,267,114,6
2022,268,146,16
2022,269,90,16
2022,270,93,15
2022,271,54,15
2022,272,63,20
2022,273,75,16
2022,274,93,19
2022,275,105,14
2022,276,98,22
2022,277,77,21
2022,278,117,16
2022,279,111,11
2022,280,103,7
2022,281,101,8
2022,282,98,11
2022,283,89,8
2022,284,136,10
2022,285,117,13
2022,286,137,9
2022,287,115,7
2022,288,81,6
2022,289,91,8
2022,290,94,9
2022,291,82,5
2022,292,93,8
2022,293,121,12
2022,294,108,9
2022,295,95,3
2022,296,83,5
2022,297,88,2
2022,298,67,3
2022,299,68,3
2022,300,46,4
2022,301,37,3
2022,302,46,1
2022,303,43,1
2022,304,48,6
2022,305,41,3
2022,306,41,3
2022,307,31,6
2022,308,35,2
2022,309,36,3
2022,310,53,4
2022,311,34,3
2022,312,42,1
2022,313,45,4
2022,314,52,3
2022,315,46,4
2022,316,30,1
2022,317,39,4
2022,318,39,4
2023,319,39,4
2023,320,51,5
2023,321,49,4
2023,322,39,3
2023,323,51,0
2023,324,61,1
2023,325,37,0
2023,326,37,2
2023,327,44,9
2023,328,50,4
2023,329,48,6
2023,330,67,4
2023,331,72,6
2023,332,57,5
2023,333,78,5
2023,334,70,6
2023,335,57,7
2023,336,65,10
2023,337,51,8
2023,338,41,4
2023,339,41,10
2023,340,38,2
2023,341,42,11
2023,342,38,4
2023,343,63,4
2023,344,43,1
2023,345,43,3
2023,346,41,5
2023,347,57,9
2023,348,35,2
2023,349,26,6
2023,350,28,15
2023,351,67,8
2023,352,58,5
2023,353,48,9
2023,354,50,6
2023,355,40,5
2023,356,29,5
2023,357,30,5
2023,358,33,7
2023,359,32,3
2023,360,24,2
2023,361,21,4
2023,362,21,6
2023,363,14,2
2023,364,26,7
2023,365,16,1
2023,366,29,4
2023,367,24,3
2023,368,25,2
2023,369,15,3
2023,370,17,2
2023,371,23,5
2024,372,23,5
2024,373,38,7
2024,374,32,8
2024,375,53,7
2024,376,39,10
2024,377,75,5
2024,378,70,10
2024,379,96,21
2024,380,155,21
2024,381,145,41
2024,382,207,39
2024,383,203,34
2024,384,241,44
2024,385,301,71
2024,386,225,63
2024,387,312,73
2024,388,340,48
2024,389,285,48
2024,390,284,82
2024,391,283,77
2024,392,272,76
2024,393,241,45
2024,394,207,38
2024,395,141,29
2024,396,108,29
2024,397,101,26
2024,398,77,14
2024,399,69,20
2024,400,71,17
2024,401,77,23
2024,402,70,11
2024,403,70,13
2024,404,63,12
2024,405,60,16
2024,406,36,14
2024,407,52,9
2024,408,42,5
2024,409,24,4
2024,410,20,2
2024,411,34,6
2024,412,35,5
2024,413,28,8
2024,414,26,2
2024,415,39,5
2024,416,27,5
2024,417,23,5
2024,418,30,5
2024,419,36,7
2024,420,31,11
2024,421,44,4
2024,422,51,11
2024,423,42,5
2024,424,50,2
2025,425,50,2
2025,426,53,15
2025,427,61,13
2025,428,62,12
2025,429,51,4
2025,430,47,8
2025,431,63,9
2025,432,54,7
2025,433,75,11
2025,434,63,17
2025,435,69,17
2025,436,100,22
2025,437,84,16
2025,438,80,19
2025,439,126,22
2025,440,98,21
2025,441,118,27
2025,442,102,27
2025,443,102,18
2025,444,127,13
2025,445,116,17
2025,446,96,14
2025,447,99,29
2025,448,108,29
2025,449,111,35
2025,450,103,30
2025,451,121,36
2025,452,93,38
2025,453,95,28
2025,454,108,33
2025,455,115,52
2025,456,110,57
2025,457,64,37
2025,458,73,30
2025,459,64,29
2025,460,56,19
2025,461,76,22
2025,462,67,17
2025,463,52,6
2025,464,73,9
2025,465,62,21
2025,466,77,12
2025,467,65,15
2025,468,58,11
2025,469,54,5
2025,470,46,15
2025,471,51,8
2025,472,41,6
2025,473,52,8
2025,474,47,10
2025,475,56,12
2025,476,53,8
2025,477,58,2
